SSA(m2/g),Pore size(nm),Pore Volume (cm3/g),Potential,Nitrogen %,Id/Ig,Specific Capacitance
630,1.5,0,0.25,0,0,80
1000,1.75,0,0.25,0,0,125
1500,2.5,0,0.25,0,0,175
1400,2.9,0,0.25,0,0,160
850,1.25,0,0.25,0,0,95
1800,1.15,0,0.25,0,0,138
1700,1.25,0,0.25,0,0,143
1100,1.8,0,0.25,0,0,120
20,0,0.11,3.5,0,1.02,35
247,0,0.37,3.5,0,0.83,40
1347,3,1.01,0.9,0,0,189.1
3310,2,0,0.9,0,0,333.9
310,0.54,0.17,0.9,3.5,0,120
420,0.54,0.22,0.9,2.9,0,128
550,0.59,0.34,0.9,0.9,0,140
2872,0,2.06,1,0,0,312
970,2.85,0.69,1,0,0,68.4
1140,0,0,0.9,0,0,304
2273,4.47,2.74,1,0,0,168
0,0,0,1.2,0,3.75,300
0,0,0,1.2,0,3.6,200
0,0,0,1.2,0,3.4,220
0,0,0,1.2,0,3.25,225
2250,0,1.4,2,0,2.45,150
2430,0,1.4,2,0,2.26,125
2420,0,1.5,2,0,2,138
146.12,0,0,2.6,0,0,21.8
159.74,0,0,2.6,0,0,60.4
1522,0,2.02,2.7,0,0,115
2549,0,0,2.7,0,0,106
156,0,0,2.7,0,0,35
0,0,0,1,0,0,198
0,0,0,1,0,0,115
0,0,0,1,0,0,38
415,0,0,0.9,0,0.19,120
710,0.71,0,0.9,0,0,185
698,0.82,0,0.9,0,0,360
565,0.76,0,0.9,0,0,341
886,0,0,0.9,0,0,214
801,3.7,0.9,0.9,0,0,218
1496,1.4,3.36,0.9,0,0,171
1390,1.4,3.28,0.9,1.2,0,136
787,0,0,0.9,0,0,95
429,0,0,0.9,0,0,30
0,0,0,0.9,0,0,25
429,0,0,0.9,0,0,50
0,0,0,0.9,0,0,39
846.5,7.57,0.76,1.4,0,0,18.31
602.6,3.42,0.35,1.4,0,0,5.31
492.9,3.25,0.092,1.4,0,0,8.51
538.9,0,0,1,0,0,326.5
138.2,0,0,1,0,0,83
3100,0,2.14,3.5,0,1.19,165
3100,0,2.14,2.7,0,1.19,150
3100,0,2.14,3.5,0,1.19,200
2675,0,0,3.5,0,0,156
883,7,0,1,0,0,289
2158,1.9,0.68,0.9,0,0,176
1759,2.7,0.93,0.8,0,0,218
1452,4.63,0.81,0.8,0,0,127
2218,2.25,1.15,2.4,0,0,124
1759,2.7,0.93,2.4,0,0,108
1622,2.7,0.86,2.4,0,0,105
1452,4.63,0.81,2.4,0,0,147
2218,2.25,1.15,2.4,0,0,112
1759,2.7,0.93,2.4,0,0,108
1622,2.7,0.86,2.4,0,0,100
1452,4.63,0.81,2.4,0,0,120
810,0,0,2.5,0,1.22,30
1340,0,0,2.5,0,1.08,45
3160,0.8,1.58,1,0,0,295
3110,0.7,1.68,1,0,0,280
2930,0.75,1.7,1,0,0,305
830,0.8,0.32,2.5,0,0,170
2025,0,1.12,4,0,0,120
1924,0,1.09,4,0,0,105
1405,0,0.74,4,0,0,146
1080,0.7,0,0.6,0,1.25,125
1429,1.6,0,0.6,0,1.075,200
0,6,0,0.7,6.71,0,200
545.8,4,0.56,1,0,0,242
582.3,3.9,0.59,1,0,0,190
485.8,3.9,0.5,1,0,0,170
411.7,3.9,0.45,1,0,0,159
698.6,3.9,0.61,1,0,0,153
507.5,3.9,0.53,1,0,0,173
321.2,0,0.23,1,0,0,95
744.5,3.5,0.65,1,0,0,136
249,3.2,0,0.8,3,1.19,239
0,0,0,0.8,0,1.12,228
0,0,0,0.8,3,1.14,190
0,0,0,0.8,0,1.05,181
2053,6,0,0.9,0,0,216
1854,7,0,0.9,0,0,251
1633,10,0,0.9,0,0,245
312,0,0,0.9,0,0,42
854,1.2,1,0.8,6.7,1,131
1277,1.2,1.28,0.8,7.3,0,154
643,1.1,0.33,0.8,6.6,0,104
588,0.75,0.34,0.8,5.7,0,112
256,0,1.15,3.5,0,0,137
256,0,1.15,3.5,0,0,154
1330,4.05,1.35,1,0,0,193
1234,3.01,0.93,1,0,0,185
1157,2.39,0.69,1,0,0,182
348,6.61,0.58,1,0,0,114
787,5.81,1.14,1,0,0,177
1330,4.05,1.35,2.7,0,0,112
1234,3.01,0.93,2.7,0,0,90
1157,2.39,0.69,2.7,0,0,45
348,6.61,0.58,2.7,0,0,15
787,5.81,1.14,2.7,0,0,67
0,0,0,3,4.85,0,110
3290,1,0,3.5,0,0,173
466,7,0.6,2,2.31,0,110
1040,10,2.6,2,5.24,0,210
233,0,0.9,2,0,0,33
176,0,0.7,2,0,0,15
2653,1.2,1.73,2.7,0,0,210
2269,0.7,1.15,2.7,0,0,114
33.1,0,0,1,0,0,252.4
17.6,0,0,1,0,0,39.7
673.43,2.13,0.36,0.8,0,0,325.5
1040.31,2.35,0.61,0.8,0,0,425.8
593.82,2.49,0.37,0.8,0,0,394
381.64,0,0,0.8,0,0,528
683.26,0,0,0.8,0,0,587
559.11,0,0,0.8,0,0,420
1386,0.7,0.904,1,0,0,155
1615,0.5,1.237,1,0,0,175
1766,0.7,1.527,1,0,0,210
775,0.5,0.54,1,0,0,155
1231,0.7,1.437,1,0,0,185
1315,0.5,0.886,1,0,0,240
783,0.7,0.608,1,0,0,150
1083,0.7,0.87,1,0,0,190
1162,0.7,0.868,1,0,0,210
682,4,0.72,0.8,0,1.62,100
1383,1,1.2,0.8,0,1.3,160
754,0,0.4,2,0,0,38
364,0,0.195,2,0,0,20
1180,7,1.56,1,0,0.9,241
0,0,0,0.8,0,0.33,104
592,0,0.94,0.7,0,0,71
996,3.9,1.1,0.7,0,0,116
1097,3.9,1.25,0.7,0,0,124
1269,3.9,1.25,0.7,0,0,147
1130,3,2.188,1,0,1.18,132
1578,0,1.092,1.2,0.68,0,310
1578,0,1.092,1,0.68,0,305
345.8,0,0.476,1,0,0,210
379.9,0,0.513,1,1.53,1.15,227
1332.4,0,0.77,1,0,0,85
1957,0,1.5,1,0,0,315
2005.9,0.55,1.6,1,0.1,1.12,319
1332.4,0,0.77,3.5,0,0,83.5
1957,0,1.5,3.5,0,0,110
2005.9,0.55,1.6,3.5,0.1,1.12,140
1427.7,0.568,5.91,1,3.73,0,378.5
1036.6,0.563,4.76,1,1.8,0,263.4
3034.8,1.17,0,1,5.08,3.255,189
3384.3,1.17,0,1,5.67,4.182,219
3124.4,1.17,0,1,2.34,2.739,270
3336.7,1.17,0,1,0.63,3.412,247
343,0.62,1.6,1,0,1.38,7.86
301,0.62,1.5,1,0,1.25,19.9
342,0.62,1.59,1,0.54,1.22,22.2
341,0.62,1.34,1,1.02,1.03,29.7
343,0.62,1.6,1,0,1.38,2.59
301,0.62,1.5,1,0,1.25,34.6
342,0.62,1.59,1,0.54,1.22,10.6
341,0.62,1.34,1,1.02,1.03,29.6
0,0,0,1,0,0.93,180
0,0,0,1,0,0.92,225
659,0.58,0,1,3.01,0.93,325
0,0,0,1,0,0.95,175
552,3,0.38,0.9,0,2.64,140
1616,2.1,0.86,0.9,0,4.54,173
2490,2.5,1.7,0.9,0,0.55,283
803,0,5.5,1,0,0,150
406,4.3,0.2,1,0,0,275
460,7.3,0.36,1,0,0,324
477,1.96,0.23,1,0,1.01,80
1734,1.87,0.82,1,0,0,220
2753,2.23,1.54,1,0,1.12,307
2086,2.1,1.1,1,0,0,250
178,0,2.86,1,0,1.69,126
1288,2.6,0.82,1,0,1.69,241
2034,3.5,1.78,1,0,1.93,275
178,0,2.86,3,0,1.69,58
1288,2.6,0.82,3,0,1.69,100
2034,3.5,1.78,3,0,1.93,151.7
880,0.6,0.44,1.2,0.2,0,146
1513,0.64,0.8,1.2,0.2,0,159
1916,0.93,1.36,1.2,0.2,0,190
